City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
532,Namikupa,TZ,72.1,scattered clouds,-10.8333,39.6,
533,Monrovia,LR,77.85,light rain,6.3005,-10.7969,Sunset Inn
536,Chabahar,IR,76.53,clear sky,25.2919,60.643,هتل گدروشیا
537,Eyl,SO,77.38,few clouds,7.9803,49.8164,Amiin Hotel
543,Moussoro,TD,78.62,overcast clouds,13.6408,16.4901,Hôtel Salama
544,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
550,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
554,Wattegama,LK,77.92,overcast clouds,6.7989,81.4808,
560,Ixtapa,MX,73.36,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
563,Buchanan,LR,77.29,few clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
564,Ciudad Bolivar,VE,76.59,light rain,8.1222,-63.5497,Hotel Edi
565,Raigarh,IN,75.16,clear sky,21.9,83.4,Hotel Shivam
567,Tamandare,BR,77.05,few clouds,-8.7597,-35.1047,Pousada 100 Passos
568,Acarau,BR,78.35,overcast clouds,-2.8856,-40.12,castelo pizzaria
569,Kununurra,AU,87.78,thunderstorm,-15.7667,128.7333,Hotel Kununurra
573,Hasaki,JP,72.28,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
579,Vavatenina,MG,77.54,broken clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
581,Quang Ngai,VN,78.98,overcast clouds,15.1167,108.8,Central Hotel
583,Daru,PG,86.43,scattered clouds,-9.0763,143.2092,Daru Lodge
588,Lorengau,PG,84.45,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
589,Hirara,JP,73.67,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
593,Palu,ID,87.91,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
595,Mangrol,IN,82.44,broken clouds,21.1167,70.1167,Hotel The Royal Honours
598,Velur,IN,79.3,moderate rain,12.9333,79.1333,NSR Lodge A/C
599,Punto Fijo,VE,80.53,few clouds,11.6956,-70.1996,Santa Fe Inn Hotel
602,Fuerte Olimpo,PY,73.09,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
603,Xuddur,SO,72.46,overcast clouds,4.1213,43.8894,Banjanay Hotel
605,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
606,Wanning,CN,72.07,broken clouds,18.8003,110.3967,Paradise Hotel
607,Navrongo,GH,78.21,scattered clouds,10.8956,-1.0921,Azakka Hotel
610,Meulaboh,ID,75.6,overcast clouds,4.1363,96.1285,Kost Pria
611,Kaeo,NZ,72.32,scattered clouds,-35.1,173.7833,Bushido Lodge
612,Kintampo,GH,73.47,overcast clouds,8.0563,-1.7306,Adomaa Memorial Hotel
613,Portobelo,PA,78.96,overcast clouds,9.55,-79.65,Scuba Portobelo
