City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Acajutla,SV,2021-11-15 16:48:24,13.5928,-89.8275,91.74,51,90,4.43
194,San Cristobal,VE,2021-11-15 16:48:25,7.7669,-72.225,77.18,51,65,6.49
195,Sao Joao Da Barra,BR,2021-11-15 16:48:25,-21.6403,-41.0511,78.89,69,77,14.63
196,Chapais,CA,2021-11-15 16:48:26,49.7834,-74.8492,28.18,66,99,5.17
197,Omboue,GA,2021-11-15 16:48:27,-1.5746,9.2618,79.38,81,93,8.68
198,Chernyshevskiy,RU,2021-11-15 16:48:27,63.0128,112.4714,7.27,97,100,2.17
199,Samarai,PG,2021-11-15 16:48:28,-10.6167,150.6667,82.54,81,96,10.42
200,Ang Thong,TH,2021-11-15 16:48:29,14.6167,100.3667,79.05,89,38,4.16
201,Weinan,CN,2021-11-15 16:48:30,34.5036,109.5089,38.89,53,100,1.88
202,Praia,CV,2021-11-15 16:48:09,14.9215,-23.5087,82.94,61,75,13.8
203,Ribeira Grande,PT,2021-11-15 16:48:31,38.5167,-28.7,72.0,73,40,27.63
204,Guane,CU,2021-11-15 16:48:31,22.2025,-84.0875,78.37,64,100,11.14
205,Alekseyevka,RU,2021-11-15 16:48:32,50.6309,38.6903,30.56,71,10,11.56
206,Saint-Augustin,CA,2021-11-15 16:45:31,51.226,-58.6502,36.46,99,100,16.22
207,Saint George,US,2021-11-15 16:46:03,37.1041,-113.5841,73.54,49,1,0.0
208,Amantea,IT,2021-11-15 16:48:34,39.1332,16.0746,62.55,66,100,3.11
209,Jambi,ID,2021-11-15 16:48:35,-1.6,103.6167,75.33,94,98,2.44
210,New Norfolk,AU,2021-11-15 16:48:35,-42.7826,147.0587,42.3,73,65,1.01
211,Akyab,MM,2021-11-15 16:48:36,20.15,92.9,78.96,81,96,6.08
212,Isla Mujeres,MX,2021-11-15 16:45:39,21.2311,-86.731,80.65,66,94,13.24
213,Okhotsk,RU,2021-11-15 16:48:37,59.3833,143.3,16.97,88,99,12.41
214,Aripuana,BR,2021-11-15 16:48:38,-9.1667,-60.6333,91.17,50,87,3.47
215,Saldanha,ZA,2021-11-15 16:48:38,-33.0117,17.9442,69.85,85,99,15.97
216,Morant Bay,JM,2021-11-15 16:48:39,17.8815,-76.4093,89.62,70,39,10.09
217,Kestel,TR,2021-11-15 16:48:39,40.1983,29.2124,53.08,65,8,5.14
218,Gimbi,ET,2021-11-15 16:48:40,9.1667,35.8333,58.6,77,97,1.9
219,Cayenne,GF,2021-11-15 16:46:06,4.9333,-52.3333,86.04,78,75,3.0
220,Cururupu,BR,2021-11-15 16:46:12,-1.8283,-44.8683,85.95,63,90,8.25
221,Bilibino,RU,2021-11-15 16:48:41,68.0546,166.4372,16.29,93,100,3.22
222,Heihe,CN,2021-11-15 16:48:42,50.2441,127.4902,18.18,86,44,3.74
223,Grand Gaube,MU,2021-11-15 16:44:24,-20.0064,57.6608,76.37,72,5,3.0
224,Bambanglipuro,ID,2021-11-15 16:45:01,-7.95,110.2833,61.61,92,100,4.7
225,Plouzane,FR,2021-11-15 16:48:44,48.3833,-4.6167,54.09,91,90,5.75
226,Vryheid,ZA,2021-11-15 16:48:44,-27.7695,30.7917,73.08,57,64,11.52
227,Mercedes,AR,2021-11-15 16:48:45,-34.6515,-59.4307,85.86,27,0,12.59
228,Chokurdakh,RU,2021-11-15 16:48:46,70.6333,147.9167,3.76,97,99,1.14
229,Burnie,AU,2021-11-15 16:49:47,-41.0667,145.9167,41.92,77,24,7.92
230,Iralaya,HN,2021-11-15 16:49:47,15.0,-83.2333,75.29,82,96,12.68
231,Tomatlan,MX,2021-11-15 16:49:48,19.9333,-105.25,85.26,41,65,1.07
232,Moranbah,AU,2021-11-15 16:49:49,-22.0016,148.0466,72.64,72,37,8.75
